;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 05.02.2018 13:36:25
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xC4E6    	RJMP       _main
0x0002	0xC355    	RJMP       _butt_stop
0x0004	0xCFFD    	RJMP       0
0x0006	0xCFFC    	RJMP       0
0x0008	0xC393    	RJMP       _do_step
0x000A	0xCFFA    	RJMP       0
0x000C	0xCFF9    	RJMP       0
0x000E	0xCFF8    	RJMP       0
0x0010	0xC3A5    	RJMP       _tdispupdate
0x0012	0xC402    	RJMP       _disp
0x0014	0xCFF5    	RJMP       0
0x0016	0xCFF4    	RJMP       0
0x0018	0xCFF3    	RJMP       0
0x001A	0xCFF2    	RJMP       0
0x001C	0xCFF1    	RJMP       0
0x001E	0xCFF0    	RJMP       0
0x0020	0xCFEF    	RJMP       0
0x0022	0xCFEE    	RJMP       0
0x0024	0xCFED    	RJMP       0
_main:
0x09CE	0xE5BF    	LDI        R27, 95
0x09D0	0xBFBD    	OUT        SPL+0, R27
0x09D2	0xE0B4    	LDI        R27, 4
0x09D4	0xBFBE    	OUT        SPL+1, R27
0x09D6	0xD245    	RCALL      1841
0x09D8	0xB7CD    	IN         R28, SPL+0
0x09DA	0xB7DE    	IN         R29, SPL+1
0x09DC	0x9724    	SBIW       R28, 4
0x09DE	0xBFCD    	OUT        SPL+0, R28
0x09E0	0xBFDE    	OUT        SPL+1, R29
0x09E2	0x9621    	ADIW       R28, 1
;MyProject.c,104 :: 		void main(){
;MyProject.c,106 :: 		DDRD=0b11111011;
0x09E4	0x922F    	PUSH       R2
0x09E6	0x923F    	PUSH       R3
0x09E8	0xEFBB    	LDI        R27, 251
0x09EA	0xBBB1    	OUT        DDRD+0, R27
;MyProject.c,107 :: 		DDRC=0b11110000;
0x09EC	0xEFB0    	LDI        R27, 240
0x09EE	0xBBB4    	OUT        DDRC+0, R27
;MyProject.c,108 :: 		DDRB=255;
0x09F0	0xEFBF    	LDI        R27, 255
0x09F2	0xBBB7    	OUT        DDRB+0, R27
;MyProject.c,109 :: 		L1 = L2 = L3= L4 = 1;
0x09F4	0xB3B2    	IN         R27, PORTD+0
0x09F6	0x61B0    	SBR        R27, 16
0x09F8	0xBBB2    	OUT        PORTD+0, R27
0x09FA	0xB3B2    	IN         R27, PORTD+0
0x09FC	0xFBB4    	BST        R27, 4
0x09FE	0xB3B8    	IN         R27, PORTB+0
0x0A00	0xF9B5    	BLD        R27, 5
0x0A02	0xBBB8    	OUT        PORTB+0, R27
0x0A04	0xB3B8    	IN         R27, PORTB+0
0x0A06	0xFBB5    	BST        R27, 5
0x0A08	0xB3B8    	IN         R27, PORTB+0
0x0A0A	0xF9B4    	BLD        R27, 4
0x0A0C	0xBBB8    	OUT        PORTB+0, R27
0x0A0E	0xB3B8    	IN         R27, PORTB+0
0x0A10	0xFBB4    	BST        R27, 4
0x0A12	0xB3B8    	IN         R27, PORTB+0
0x0A14	0xF9B3    	BLD        R27, 3
0x0A16	0xBBB8    	OUT        PORTB+0, R27
;MyProject.c,110 :: 		P_ON=1;
0x0A18	0xB3B2    	IN         R27, PORTD+0
0x0A1A	0x60B1    	SBR        R27, 1
0x0A1C	0xBBB2    	OUT        PORTD+0, R27
;MyProject.c,111 :: 		EN=0;
0x0A1E	0xB3B8    	IN         R27, PORTB+0
0x0A20	0x7FBB    	CBR        R27, 4
0x0A22	0xBBB8    	OUT        PORTB+0, R27
;MyProject.c,112 :: 		HEAT=0;
0x0A24	0xB3B2    	IN         R27, PORTD+0
0x0A26	0x7BBF    	CBR        R27, 64
0x0A28	0xBBB2    	OUT        PORTD+0, R27
;MyProject.c,114 :: 		CS02_bit=1;
0x0A2A	0xB7B3    	IN         R27, CS02_bit+0
0x0A2C	0x60B4    	SBR        R27, 4
0x0A2E	0xBFB3    	OUT        CS02_bit+0, R27
;MyProject.c,115 :: 		CS01_bit=0;
0x0A30	0xB7B3    	IN         R27, CS01_bit+0
0x0A32	0x7FBD    	CBR        R27, 2
0x0A34	0xBFB3    	OUT        CS01_bit+0, R27
;MyProject.c,116 :: 		CS00_bit=0;
0x0A36	0xB7B3    	IN         R27, CS00_bit+0
0x0A38	0x7FBE    	CBR        R27, 1
0x0A3A	0xBFB3    	OUT        CS00_bit+0, R27
;MyProject.c,117 :: 		CS10_bit=1;
0x0A3C	0xB5BE    	IN         R27, CS10_bit+0
0x0A3E	0x60B1    	SBR        R27, 1
0x0A40	0xBDBE    	OUT        CS10_bit+0, R27
;MyProject.c,118 :: 		CS11_bit=1;
0x0A42	0xB5BE    	IN         R27, CS11_bit+0
0x0A44	0x60B2    	SBR        R27, 2
0x0A46	0xBDBE    	OUT        CS11_bit+0, R27
;MyProject.c,119 :: 		CS12_bit=0;
0x0A48	0xB5BE    	IN         R27, CS12_bit+0
0x0A4A	0x7FBB    	CBR        R27, 4
0x0A4C	0xBDBE    	OUT        CS12_bit+0, R27
;MyProject.c,120 :: 		CS22_bit=1;
0x0A4E	0xB5B5    	IN         R27, CS22_bit+0
0x0A50	0x60B4    	SBR        R27, 4
0x0A52	0xBDB5    	OUT        CS22_bit+0, R27
;MyProject.c,121 :: 		CS21_bit=1;
0x0A54	0xB5B5    	IN         R27, CS21_bit+0
0x0A56	0x60B2    	SBR        R27, 2
0x0A58	0xBDB5    	OUT        CS21_bit+0, R27
;MyProject.c,122 :: 		CS20_bit=1;
0x0A5A	0xB5B5    	IN         R27, CS20_bit+0
0x0A5C	0x60B1    	SBR        R27, 1
0x0A5E	0xBDB5    	OUT        CS20_bit+0, R27
;MyProject.c,124 :: 		SREG_I_bit=1;
0x0A60	0xB7BF    	IN         R27, SREG_I_bit+0
0x0A62	0x68B0    	SBR        R27, 128
